id_estilo,media_corte,desv_corte,media_guarnicion,desv_guarnicion,media_zapato,desv_zapato,media_cuero,desv_cuero,id_suela,id_plantilla,id_cuero
1,29.14062,1.85293,66.3,4.25558,63.13333,3.26326,3.900,0.43589,1,1,1
2,33.37097,3.82367,73.075,6.94762,75.94595,3.05752,5.000,0.4714,2,1,2
3,36.39655,3.35765,84.48718,8.27685,89.28125,3.83434,5.000,0.4714,1,2,3
4,42.84286,3.74027,91.17143,7.43154,97.65517,8.09119,3.900,0.43589,2,2,4
